gi_code,gi_region,total_water_used,source_groundwater,source_irrigation,source_recycled,source_mains,source_dams_tanks,source_rivers_creeks_lakes,source_other,source_groundwater_ratio,source_irrigation_ratio,source_recycled_ratio,source_mains_ratio,source_dams_tanks_ratio,source_rivers_creeks_lakes_ratio,source_other_ratio,main_source_groundwater,main_source_irrigation,main_source_recycled,main_source_mains,main_source_dams_tanks,main_source_rivers_creeks_lakes,main_source_other,watering_drip_ratio,watering_flood_ratio,watering_sprinkler_ratio,watering_other_ratio,main_watering_drip,main_watering_flood,main_watering_sprinkler,main_watering_other,cabernet_sauvignon _ratio,durif_ratio,grenache_ratio,malbec_ratio,merlot_ratio,montepulciano_ratio,muscat_rose_ratio,nebbiolo_ratio,nero_ratio,petit_verdot_ratio,pinot_noir_ratio,ruby_cabernet_ratio,sangiovese_ratio,shiraz_ratio,tempranillo_ratio,barbera_ratio,bernet_franc_ratio,mataro_ratio,dolcetto_ratio,zinfandel_ratio,other_red_ratio,total_red_ratio,chardonnay_ratio,colombard_ratio,fiano_ratio,muscat_blanc_ratio,muscat_gordo_ratio,pinot_gris_ratio,prosecco_ratio,riesling_ratio,sauvignon_blanc_ratio,semillon_ratio,sultana_ratio,verdelho_ratio,vermentino_ratio,viognier_ratio,arneis_ratio,chenin_blanc_ratio,marsanne_ratio,muscadelle_ratio,traminer_ratio,savagnin_ratio,other_white_ratio,total_white_ratio,main_cabernet_sauvignon ,main_durif,main_grenache,main_malbec,main_merlot,main_montepulciano,main_muscat_rose,main_nebbiolo,main_nero,main_petit_verdot,main_pinot_noir,main_ruby_cabernet,main_sangiovese,main_shiraz,main_tempranillo,main_barbera,main_bernet_franc,main_mataro,main_dolcetto,main_zinfandel,main_other_red,main_total_red,main_chardonnay,main_colombard,main_fiano,main_muscat_blanc,main_muscat_gordo,main_pinot_gris,main_prosecco,main_riesling,main_sauvignon_blanc,main_semillon,main_sultana,main_verdelho,main_vermentino,main_viognier,main_arneis,main_chenin_blanc,main_marsanne,main_muscadelle,main_traminer,main_savagnin,main_other_white,main_total_white
111,Murray Darling (NSW),45912.84,0,19267.75,0,2148.35,0,24496.74,0,0,0.42,0,0.05,0,0.53,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.85,0,0.15,0,TRUE,FALSE,FALSE,FALSE,0.08,2.68E-05,0.000666906,0.000154173,0.10005889,0.000511099,0.000124489,9.64E-05,0.001030043,0.004843374,0.012810093,0.011962402,4.82E-05,0.133215051,0.010905421,0,0,0,0,0,0.013062144,0.369680597,0.241888671,0.04672705,0.000698944,0.001680212,0.049703217,0.115842012,0.00135735,0.002070025,0.105483061,0.011564155,0.001157279,0.003252083,0.001236065,0.00603341,0,0,0,0,0,0,0.04162587,0.630319403,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
112,Perricoota,820.46,0,446.29,0,0,0,374.17,0,0,0.54,0,0,0,0.46,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.171257273,0.022721184,0,0,0.067347787,0,0.006716746,0,0,0.013945277,0,0,0.011592441,0.333439812,0,0.000283371,0.008501123,0.005667415,0,0,0,0.641472429,0.284662256,0,0,0,0,0.028903819,0,0,0.023652014,0.020213782,0,0.0010957,0,0,0,0,0,0,0,0,0,0.358527571,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
113,Riverina,82879.49,1536.89,79709.55,0,53.01,118.78,1461.25,0,0.02,0.96,0,0,0,0.02,0,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.85,0.14,0,0,TRUE,FALSE,FALSE,FALSE,0.062095704,0.016240936,0.000222466,0.001228731,0.068620365,0.000253294,0.001990849,1.03E-05,0.000806108,0.012526673,0.014966399,0.028683259,0.00180162,0.210588467,0.001568086,0.001134885,0.000440638,0.001586346,0.000894613,0,0.006501549,0.432161321,0.204969835,0.030468749,0.00027494,0.033675201,0.020986357,0.063922147,0,0.009591007,0.040004384,0.096639997,0,0.015055288,0.000679688,0.005246982,0.000253748,0.002725315,0.003708886,8.67E-05,0.027968274,0,0.011581157,0.567838714,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
114,Swan Hill (NSW),810,0,0,0,0,0,810,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.209764103,0,0.004102564,0,0.082625641,0,0,0,0,0,0,0,0,0.20894359,0,0,0,0,0,0,0,0.505435897,0.154871795,0,0,0,0,0,0,0,0.166564103,0.173128205,0,0,0,0,0,0,0,0,0,0,0,0.494564103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
119,Big Rivers - Other,2270.51,0.22,66.74,0,0,0,2203.56,0,0,0.03,0,0,0,0.97,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.96,0,0.04,0,TRUE,FALSE,FALSE,FALSE,0.124047336,0,0,0,0.078871673,0,0,0,0,0,0.000200799,0,0.000202807,0.198205262,0,0.000126503,0,0,0,0,0.000164655,0.401819034,0.363002662,0,0,0.042569298,0.021753514,0.148390148,0,0.000158631,0,0.000164655,0,0,0,5.42E-05,0,0.014758695,0.007329148,0,0,0,0,0.598180966,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
129,Western Plains,317.29,255.41,0,0,0,0,61.88,0,0.8,0,0,0,0,0.2,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.248268082,0,0,0,0.248268082,0,0,0,0,0,0,0.248268082,0.000794458,0.249634549,0.000595843,0,0,0,0,0,0,0.995829096,0,0,0,0,0,0,0,0.000993072,0,0,0,0.001191687,0,0,0,0,0,0,0,0.000595843,0.001390301,0.004170904,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
131,Cowra,1403.55,639.71,10,0,0,10.73,743.11,0,0.46,0.01,0,0,0.01,0.53,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.99,0,0,0.01,TRUE,FALSE,FALSE,FALSE,0.121886771,0,0.000221342,0,0.044103792,0,0,0,0,0.000769799,0.003237856,0,0,0.179972303,0.000109691,0,0.000221342,0.000442683,0,0,0,0.350965578,0.563306648,0,0,0,0,0.011588117,0,0.001782486,0.031105357,0.019078474,0,0.021009827,0,0.000340827,0.000822686,0,0,0,0,0,0,0.649034422,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
132,Mudgee,1449.48,239.22,6,0,0,111.65,1082.04,10.57,0.17,0,0,0,0.08,0.75,0.01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.94,0,0.06,0,TRUE,FALSE,FALSE,FALSE,0.252824771,0.001290347,0.001497572,0,0.136781096,0,0.000681491,0.000194407,0,0.013377741,0.029889487,0,0.01141872,0.298939736,0.003134006,0.002258108,0.001595844,0,0,0.002298698,0.001606525,0.757786413,0.119737401,0,0,0.000121771,0,0.035283738,0,0.011643035,0.00342882,0.038577969,0,0.008128761,0.000437949,0.001136531,0,0,0,0,0.017975137,0.000194407,0.005548067,0.242213587,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
133,Orange,477.13,343.54,1.71,0.45,0,126.77,4.65,0,0.72,0,0,0,0.27,0.01,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.99,0,0,0.01,TRUE,FALSE,FALSE,FALSE,0.168250954,0,0.008140535,0.00365647,0.099687702,0,0,0.000559482,0,0.001213352,0.039678099,0,0,0.21936219,0.002430807,0.000419954,0.008043413,0.006292466,0,0.004277509,0.003158544,0.565170109,0.180928905,0,0,0.000482878,0,0.060134084,0,0.033857569,0.131983098,0.018718717,0,0,0,0.001571748,0.000778351,0,0.001709909,0,0.003437601,0,0.001228399,0.434829891,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
139,Central Ranges - Other,305.26,64.89,0,0,0,13.11,227.26,0,0.21,0,0,0,0.04,0.74,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.284878885,0,0,0.00051028,0.144153982,0,0,0,0,0.000168392,0.00392405,0,0.034699012,0.283618495,0.011450674,0.018456812,0,0,0.000341887,0,0.004097545,0.786300014,0.083976711,0,0,0,0,0.048762317,0,0.032372137,0.025513979,0,0,0.017237244,0.004592516,0.00051028,0.000168392,0,0,0,0,0,0.00056641,0.213699986,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
141,Canberra District (NSW),220.43,167.6,0,0,0,44.69,8.15,0,0.76,0,0,0,0.2,0.04,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.134193051,0,0.003747486,0.001515527,0.084807528,0,0.002321512,0,0,0.001584415,0.05695627,0,0.023587115,0.320527128,0.010429583,0,0.003258384,0.002156182,0,0,0.000144664,0.645228845,0.038887052,0,0,0,0,0.041029456,0,0.153281805,0.030544763,0.056246728,0,0,0,0.027238158,0,0,0.002803725,0,0,0.00222507,0.002514398,0.354771155,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
142,Hilltops,331.11,249.62,0,0,2.24,51.25,28,0,0.75,0,0,0.01,0.15,0.08,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.275661941,0,0.002845636,0.000699542,0.042629578,0,0,0.013001484,0,0.001706382,0.008811728,0,0.003717565,0.387558649,0.018775202,0.003077984,0,0.001566474,0,0,0.005344,0.765398664,0.048063518,0,0,0,0,0.105998071,0.00083945,0.020424122,0.031791676,0.014080777,0,0,0,0.011697338,0,0,8.49E-05,0,0.000979359,0,0.000644578,0.234601336,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
143,Tumbarumba,114.72,0,0,0,0,35.13,79.59,0,0,0,0,0,0.31,0.69,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0.337739792,0,0,0,0,0,0,0,0,0,0.034797394,0.372537186,0.50665836,0,0,0,0,0.028139034,0.010383407,0.00507489,0.077200633,0,0,0,0,0,0,0,0,0,0,0,0,0.627462814,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
144,Gundagai,512.99,51.64,0,0,0,36.76,424.59,0,0.1,0,0,0,0.07,0.83,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.96,0,0.04,0,TRUE,FALSE,FALSE,FALSE,0.278634885,0,0,0,9.69E-05,0,0,0.002030597,0,0,0.043242495,0,0.006414842,0.659496504,0.002265962,0.005399543,0,0,0,0,0.000461499,0.998043242,0,0,0,0,0,0,0,0,0.001956758,0,0,0,0,0,0,0,0,0,0,0,0,0.001956758,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
148,Southern New South Wales - Other,36.28,11.65,0,0,0,18.58,6.06,0,0.32,0,0,0,0.51,0.17,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.228670947,0,0,0,0.019094381,0,0,0,0,0,0.043560368,0,0,0.59847245,0,0,0,0,0,0,0,0.889840111,0.024004364,0,0,0,0,0.008015443,0,0.028872382,0.024885644,0.017793445,0,0,0,0.002224181,0,0,0,0,0,0,0.004448361,0.110201855,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
151,Shoalhaven Coast,6,0,0,0,0,6,0,0,0,0,0,0,1,0,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.219064386,0,0,0.006287726,0.025150905,0,0,0,0,0,0,0,0,0.070422535,0.008802817,0,0,0,0,0,0.16819668,0.516788229,0.119152414,0,0,0,0,0,0,0,0.070422535,0.137072435,0,0.106891348,0,0,0.02137827,0,0,0,0,0.028294769,0,0.483211771,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
152,Southern Highlands,65.15,64.62,0,0,0,0.53,0,0,0.99,0,0,0,0.01,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.083286982,0,0,0.00926217,0.091194893,0,0,0,0,0,0.250465527,0,0,0.007448429,0.011607942,0,0,0,0,0,0.049599768,0.502865711,0.150613044,0,0,0,0,0.08514909,0,0.095741336,0.131218108,0,0,0,0,0,0.027399579,0,0,0,0.004352978,0.002660153,0,0.497134289,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
158,South Coast - Other,19.15,1.73,0,0,0.54,3.38,13.5,0,0.09,0,0,0.03,0.18,0.7,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0.54,0,0.46,0,TRUE,FALSE,FALSE,FALSE,0.016071429,0,0,0,0.099456522,0,0,0,0,0.0125,0.165217391,0,0,0.079503106,0.044642857,0.053571429,0,0,0,0,0.042934783,0.513742236,0.091071429,0,0,0.0625,0,0.120574534,0,0,0.026785714,0.019642857,0,0.044642857,0,0.017857143,0,0,0,0,0,0.026785714,0.076475155,0.486257764,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
161,New England Australia,13.89,1.54,0,0,0,7.35,5,0,0.11,0,0,0,0.53,0.36,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0.35,0,0.65,0,FALSE,FALSE,TRUE,FALSE,0.035217929,0,0,0,0.01920978,0,0,0.052026486,0,0,0.053627301,0,0,0.133668049,0.161172961,0.014989449,0,0,0,0,0.060830968,0.530742924,0.082078149,0,0,0,0,0.008004075,0,0.008004075,0.118460307,0.032598414,0,0.008004075,0,0.032016299,0,0,0,0,0.158480681,0,0.021611002,0.469257076,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
169,Northern Slopes,0.59,0,0,0,0,0,0.59,0,0,0,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,0,0,0,TRUE,FALSE,FALSE,FALSE,0.416924833,0,0,0,0.185716615,0,0,0,0,0,0,0,0,0.296429154,0,0,0,0,0,0,0,0.899070602,0,0,0,0,0,0,0,0,0.009620088,0,0,0.09130931,0,0,0,0,0,0,0,0,0,0.100929398,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
171,Hastings River,4197.202639,513.8706944,1509.186806,62.18819444,63.35055556,238.9527778,1763.658611,45.99444444,0.239200198,0.15916736,0.028894169,0.023878901,0.362857013,0.179544943,0.006440844,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.940663027,0.004272442,0.05394608,0.001118451,FALSE,FALSE,FALSE,FALSE,0,0,0,0.005952381,0,0,0,0,0,0,0.021825397,0,0,0,0,0,0,0,0,0,0.337301587,0.365079365,0.329365079,0,0,0,0,0,0,0,0,0.073412698,0,0.063492063,0,0.10515873,0,0,0,0,0,0.063492063,0,0.634920635,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
